trip_id,arrival_time,departure_time,stop_id,stop_sequence
WF_7,13:46:00,13:46:00,35_80,22
WF_7,13:57:00,13:57:00,36,23
WF_7,14:01:00,14:01:00,37,24
WF_7,14:07:00,14:07:00,38_73,25
WF_7,14:16:00,14:16:00,40_71,26
WF_7,14:20:00,14:20:00,41_68,27
WF_7,14:22:00,14:22:00,42,28
WF_7,14:25:00,14:25:00,43_67,29
WF_7,14:32:00,14:32:00,44_66,30
WF_7,14:33:00,14:33:00,46,31
WF_7,14:34:00,14:34:00,47,32
WF_7,14:35:00,14:35:00,45,33
WF_7,14:41:00,14:41:00,48_65,34
WF_7,14:42:00,14:42:00,49_64,35
WF_7,14:49:00,14:49:00,50_63,36
WF_7,14:50:00,14:50:00,51,37
WF_7,14:51:00,14:51:00,53_60,38
WF_7,14:56:00,14:56:00,54_59,39
WF_7,15:00:00,15:00:00,55_58,40
WF_7,15:08:00,15:08:00,56,41
WF_8,14:00:00,14:00:00,106_171,1
WF_8,14:05:00,14:05:00,14,2
WF_8,14:06:00,14:06:00,16,3
WF_8,14:07:00,14:07:00,17,4
WF_8,14:08:00,14:08:00,18,5
WF_8,14:09:00,14:09:00,19,6
WF_8,14:10:00,14:10:00,20,7
WF_8,14:12:00,14:12:00,21,8
WF_8,14:13:00,14:13:00,22,9
WF_8,14:14:00,14:14:00,23,10
WF_8,14:15:00,14:15:00,24,11
WF_8,14:16:00,14:16:00,25,12
WF_8,14:17:00,14:17:00,26,13
WF_8,14:18:00,14:18:00,27_92,14
WF_8,14:20:00,14:20:00,28,15
WF_8,14:22:00,14:22:00,29_88,16
WF_8,14:24:00,14:24:00,30,17
WF_8,14:26:00,14:26:00,31,18
WF_8,14:38:00,14:38:00,32,19
WF_8,14:39:00,14:39:00,33,20
WF_8,14:40:00,14:40:00,34,21
WF_8,14:46:00,14:46:00,35_80,22
WF_8,14:57:00,14:57:00,36,23
WF_8,15:01:00,15:01:00,37,24
WF_8,15:07:00,15:07:00,38_73,25
WF_8,15:16:00,15:16:00,40_71,26
WF_8,15:20:00,15:20:00,41_68,27
WF_8,15:22:00,15:22:00,42,28
WF_8,15:25:00,15:25:00,43_67,29
WF_8,15:32:00,15:32:00,44_66,30
WF_8,15:33:00,15:33:00,46,31
WF_8,15:34:00,15:34:00,47,32
WF_8,15:35:00,15:35:00,45,33
WF_8,15:41:00,15:41:00,48_65,34
WF_8,15:42:00,15:42:00,49_64,35
WF_8,15:49:00,15:49:00,50_63,36
WF_8,15:50:00,15:50:00,51,37
WF_8,15:51:00,15:51:00,53_60,38
WF_8,15:56:00,15:56:00,54_59,39
WF_8,16:00:00,16:00:00,55_58,40
WF_8,16:08:00,16:08:00,56,41
WF_9,15:00:00,15:00:00,106_171,1
WF_9,15:05:00,15:05:00,14,2
WF_9,15:06:00,15:06:00,16,3
WF_9,15:07:00,15:07:00,17,4
WF_9,15:08:00,15:08:00,18,5
WF_9,15:09:00,15:09:00,19,6
WF_9,15:10:00,15:10:00,20,7
WF_9,15:12:00,15:12:00,21,8
WF_9,15:13:00,15:13:00,22,9
WF_9,15:14:00,15:14:00,23,10
WF_9,15:15:00,15:15:00,24,11
WF_9,15:16:00,15:16:00,25,12
WF_9,15:17:00,15:17:00,26,13
WF_9,15:18:00,15:18:00,27_92,14
WF_9,15:20:00,15:20:00,28,15
WF_9,15:22:00,15:22:00,29_88,16
WF_9,15:24:00,15:24:00,30,17
WF_9,15:26:00,15:26:00,31,18
WF_9,15:38:00,15:38:00,32,19
WF_9,15:39:00,15:39:00,33,20
WF_9,15:40:00,15:40:00,34,21
WF_9,15:46:00,15:46:00,35_80,22
WF_9,15:57:00,15:57:00,36,23
WF_9,16:01:00,16:01:00,37,24
WF_9,16:07:00,16:07:00,38_73,25
WF_9,16:16:00,16:16:00,40_71,26
WF_9,16:20:00,16:20:00,41_68,27
WF_9,16:22:00,16:22:00,42,28
WF_9,16:25:00,16:25:00,43_67,29
WF_9,16:32:00,16:32:00,44_66,30
WF_9,16:33:00,16:33:00,46,31
WF_9,16:34:00,16:34:00,47,32
WF_9,16:35:00,16:35:00,45,33
WF_9,16:41:00,16:41:00,48_65,34
WF_9,16:42:00,16:42:00,49_64,35
WF_9,16:49:00,16:49:00,50_63,36
WF_9,16:50:00,16:50:00,51,37
WF_9,16:51:00,16:51:00,53_60,38
WF_9,16:56:00,16:56:00,54_59,39
WF_9,17:00:00,17:00:00,55_58,40
WF_9,17:08:00,17:08:00,56,41
WF_10,16:00:00,16:00:00,106_171,1
WF_10,16:05:00,16:05:00,14,2
WF_10,16:06:00,16:06:00,16,3
WF_10,16:07:00,16:07:00,17,4
WF_10,16:08:00,16:08:00,18,5
WF_10,16:09:00,16:09:00,19,6
WF_10,16:10:00,16:10:00,20,7
WF_10,16:12:00,16:12:00,21,8
WF_10,16:13:00,16:13:00,22,9
WF_10,16:14:00,16:14:00,23,10
WF_10,16:15:00,16:15:00,24,11
WF_10,16:16:00,16:16:00,25,12
WF_10,16:17:00,16:17:00,26,13
WF_10,16:18:00,16:18:00,27_92,14
WF_10,16:20:00,16:20:00,28,15
WF_10,16:22:00,16:22:00,29_88,16
WF_10,16:24:00,16:24:00,30,17
WF_10,16:26:00,16:26:00,31,18
WF_10,16:38:00,16:38:00,32,19
WF_10,16:39:00,16:39:00,33,20
WF_10,16:40:00,16:40:00,34,21
WF_10,16:46:00,16:46:00,35_80,22
WF_10,16:57:00,16:57:00,36,23
WF_10,17:01:00,17:01:00,37,24
WF_10,17:07:00,17:07:00,38_73,25
WF_10,17:16:00,17:16:00,40_71,26
WF_10,17:20:00,17:20:00,41_68,27
WF_10,17:22:00,17:22:00,42,28
WF_10,17:25:00,17:25:00,43_67,29
WF_10,17:32:00,17:32:00,44_66,30
WF_10,17:33:00,17:33:00,46,31
WF_10,17:34:00,17:34:00,47,32
WF_10,17:35:00,17:35:00,45,33
WF_10,17:41:00,17:41:00,48_65,34
WF_10,17:42:00,17:42:00,49_64,35
WF_10,17:49:00,17:49:00,50_63,36
WF_10,17:50:00,17:50:00,51,37
WF_10,17:51:00,17:51:00,53_60,38
WF_10,17:56:00,17:56:00,54_59,39
WF_10,18:00:00,18:00:00,55_58,40
WF_10,18:08:00,18:08:00,56,41
WF_11,17:00:00,17:00:00,106_171,1
WF_11,17:05:00,17:05:00,14,2
WF_11,17:06:00,17:06:00,16,3
WF_11,17:07:00,17:07:00,17,4
WF_11,17:08:00,17:08:00,18,5
WF_11,17:09:00,17:09:00,19,6
WF_11,17:10:00,17:10:00,20,7
WF_11,17:12:00,17:12:00,21,8
WF_11,17:13:00,17:13:00,22,9
WF_11,17:14:00,17:14:00,23,10
WF_11,17:15:00,17:15:00,24,11
WF_11,17:16:00,17:16:00,25,12
WF_11,17:17:00,17:17:00,26,13
WF_11,17:18:00,17:18:00,27_92,14
WF_11,17:20:00,17:20:00,28,15
WF_11,17:22:00,17:22:00,29_88,16
WF_11,17:24:00,17:24:00,30,17
WF_11,17:26:00,17:26:00,31,18
WF_11,17:38:00,17:38:00,32,19
WF_11,17:39:00,17:39:00,33,20
WF_11,17:40:00,17:40:00,34,21
WF_11,17:46:00,17:46:00,35_80,22
WF_11,17:57:00,17:57:00,36,23
WF_11,18:01:00,18:01:00,37,24
WF_11,18:07:00,18:07:00,38_73,25
WF_11,18:16:00,18:16:00,40_71,26
WF_11,18:20:00,18:20:00,41_68,27
WF_11,18:22:00,18:22:00,42,28
WF_11,18:25:00,18:25:00,43_67,29
WF_11,18:32:00,18:32:00,44_66,30
WF_11,18:33:00,18:33:00,46,31
WF_11,18:34:00,18:34:00,47,32
WF_11,18:35:00,18:35:00,45,33
WF_11,18:41:00,18:41:00,48_65,34
WF_11,18:42:00,18:42:00,49_64,35
WF_11,18:49:00,18:49:00,50_63,36
WF_11,18:50:00,18:50:00,51,37
WF_11,18:51:00,18:51:00,53_60,38
WF_11,18:56:00,18:56:00,54_59,39
